Unnamed: 0,barangay,name_original,address,address_clean,major_division,sub_division,category,data_source,open_hours,close_hours,latitude,longitude,district
153,Commonwealth,"estar castle integrated school, inc.","1817-a, ecols, commonwealth, quezon city, ncr, 1121","1817-a, ecols, commonwealth, quezon city, ncr, 1121, Philippines",Schools,Private,Private school,"QC Future Ready dashboard, Schools",8:00AM,5:00PM,14.69833896,121.0825353,2.0
154,Commonwealth,Lower Nawasa,"Purok 6, Unit 7 Lower NAWASA, Brgy. Commonwealth","Purok 6, Unit 7 Lower NAWASA, Barangay Commonwealth, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,14.7060131,121.0869798,2.0
155,Commonwealth,E. Castillo,"E. Castillo St., Brgy. Commonwealth","E. Castillo Street, Barangay Commonwealth, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,14.70031471,121.0845014,2.0
156,Commonwealth,Gold,"Gold St., near Commonwealth Highschool, Brgy. Commonwealth","Gold Street, near Commonwealth Highschool, Barangay Commonwealth, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,,,2.0
157,Commonwealth,Kasunduan,"Ground floor, Kasunduan Multi-purpose Hall, Unit 2, Kasunduan Extension, Brgy. Commonwealth","Ground floor, Kasunduan Multi-purpose Hall, Unit 2, Kasunduan Extension, Barangay Commonwealth, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,14.69708145,121.0928213,2.0
158,Commonwealth,Purok 15,"Purok 15, Pinagnayon St., Brgy. Commonwealth","Purok 15, Pinagnayon Street, Barangay Commonwealth, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,,,2.0
159,Commonwealth,shining stars child development tutorial center,"2f - 1c  1d,  pearl drive commercial center , commonwealth ave corner pearl street, fairview, quezon city, ncr, 1118","2f - 1c 1d, pearl drive commercial center , commonwealth ave corner pearl street, fairview, quezon city, ncr, 1118, Philippines",Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",8:00AM,5:00PM,,,2.0
160,Commonwealth,Purok 16,"Unit V, Purok 16, Brgy. Commonwealth","Unit V, Purok 16, Barangay Commonwealth, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,14.7060131,121.0869798,2.0
161,Commonwealth,National Government Center Lying-In Clinic,"MRB Compound, Pilot Drive, Brgy. Commonwealth","MRB Compound, Pilot Drive, Barangay Commonwealth, Quezon City, Philippines",Health centers,,LGU-run lying-in clinics,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",,,14.7060131,121.0869798,2.0
162,Commonwealth,Soliven,"Commonwealth Heights, Soliven St. corner President Quezon St., Brgy. Commonwealth","Commonwealth Heights, Soliven Street corner President Quezon Street, Barangay Commonwealth, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,14.70203876,121.0871636,2.0
163,Commonwealth,high 10 therapy center,"2nd flr., berkeley square, 869 commonwealth ave., matandang balara, quezon city, ncr, 1119","2nd Floor, berkeley square, 869 commonwealth Avenue, matandang balara, quezon city, ncr, 1119, Philippines",Long-term care and rehabilitation services,,Therapeutic clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,6:30PM,,,2.0
164,Commonwealth,Unit V,"Ground floor, DCC Paulate Bldg., Bato bato St., Brgy. Commonwealth","Ground floor, DCC Paulate Building, Bato bato Street, Barangay Commonwealth, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,,,2.0
165,Commonwealth,Kaunlaran,"Lot 9A, Unit 2, Kaunlaran St., Brgy. Commonwealth","Lot 9A, Unit 2, Kaunlaran Street, Barangay Commonwealth, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,14.6989133,121.0897562,2.0
166,Commonwealth,Commonwealth,"Katuparan St., Brgy. Commonwealth","Katuparan Street, Barangay Commonwealth, Quezon City, Philippines",Health centers,,Health centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",,,14.696917,121.088006,2.0
167,Commonwealth,Purok 12,"Purok 12, Adarna St., Brgy. Commonwealth","Purok 12, Adarna Street, Barangay Commonwealth, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,,,2.0
168,Commonwealth,Purok 20,"Unit V, Purok 20, Brgy. Commonwealth","Unit V, Purok 20, Barangay Commonwealth, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,14.7060131,121.0869798,2.0
169,Commonwealth,cambridge children's learning & development inc.,"l9 b176, commonwealth ave., north fairview, quezon city, ncr, 1121","l9 b176, commonwealth Avenue, north fairview, quezon city, ncr, 1121, Philippines",Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",8:00AM,5:19AM,,,2.0
170,Commonwealth,common-wealth academy inc.,"#1412, adarna st. unit v , commonwealth, quezon city, ncr, 1121","#1412, adarna Street unit v , commonwealth, quezon city, ncr, 1121, Philippines",Schools,Private,Private school,"QC Future Ready dashboard, Schools",7:00AM,5:00PM,14.699689,121.0765454,2.0
171,Culiat,Wenceslao Dela Paz (Culiat),"Sta. Felicia St. , San Antonio Homes, Brgy. Culiat","Sta. Felicia Street , San Antonio Homes, Barangay Culiat, Quezon City, Philippines",Health centers,,Health centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",,,14.66707415,121.0568763,6.0
172,Culiat,Metro Heights,"Adelfa Metro Heights, Visayas Ave.","Adelfa Metro Heights, Visayas Avenue, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,,,6.0
173,Culiat,"casa de carmel montessori, inc.","47, morning star drive, sanville subdivision, culiat, quezon city, ncr, 1128","47, morning star drive, sanville subdivision, culiat, quezon city, ncr, 1128, Philippines",Schools,Private,Private school,"QC Future Ready dashboard, Schools",7:00AM,7:00PM,14.66417261,121.0472983,6.0
174,Culiat,Purok I,"251 Purok I, Luzon Avenue","251 Purok I, Luzon Avenue, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,,,6.0
175,Culiat,Cenacle Drive,"5A Cenacle Drive, Sitio Mabilog","5A Cenacle Drive, Sitio Mabilog, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,14.66607499,121.0471357,6.0
176,Damayan,Damayan,30 San Vicente St.,"30 San Vicente Street, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,14.63880498,121.0142366,1.0
177,Damayan,San Francisco Super Health Centers,"H. San Francisco St. corner San Vicente St., Brgy. Damayan","H. San Francisco Street corner San Vicente Street, Barangay Damayan, Quezon City, Philippines",Health centers,,Super health care centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",,,14.63937238,121.0146712,1.0
178,Damayan,San Francisco Super,H. Francisco cor. San Vicente St. Brgy Damayan,"H. Francisco corner San Vicente Street Barangay Damayan, Quezon City, Philippines",Health centers,,Health centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",,,14.63880498,121.0142366,1.0
179,Damayan,San Francisco Lying–In Clinic,"H. Francisco St. corner San Vicente St., Brgy. Damayan","H. Francisco Street corner San Vicente Street, Barangay Damayan, Quezon City, Philippines",Health centers,,LGU-run lying-in clinics,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",,,14.63937238,121.0146712,1.0
180,Damayang Lagi,Damayang Lagi,Block 4 (Chapel) E. Rodriguez Sr. Ave. Brgy. Damayang Lagi,"Block 4 (Chapel) E. Rodriguez Sr. Avenue Barangay Damayang Lagi, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,14.6164505,121.022814,4.0
181,Del Monte,Del Monte,"21 Florencia West SFDM
Multipurpose Hall","21 Florencia West SFDM
Multipurpose Hall, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,14.6418077,121.0136298,1.0
182,Del Monte,Bukal ng Pag-asa,"21 Florencia West SFDM
Multipurpose Hall","21 Florencia West SFDM
Multipurpose Hall, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,14.6418077,121.0136298,1.0
183,Del Monte,ace water health & spa center inc.,"399, del monte ave., manresa, quezon city, ncr, 1115","399, del monte Avenue, manresa, quezon city, ncr, 1115, Philippines",Long-term care and rehabilitation services,,Therapeutic clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,5:00PM,,,1.0
184,Del Monte,ab child developmental therapy center,"c4 , srf bldg, 1038, san francisco del monte ave., paraiso, quezon city, ncr, 1104","c4 , srf bldg, 1038, san francisco del monte Avenue, paraiso, quezon city, ncr, 1104, Philippines",Long-term care and rehabilitation services,,Physical/occupational therapy school,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,5:00PM,14.64047855,121.0172814,1.0
185,Del Monte,ace water health & spa center inc.,"399, del monte ave., manresa, quezon city, ncr, 1115","399, del monte Avenue, manresa, quezon city, ncr, 1115, Philippines",Long-term care and rehabilitation services,,Therapeutic clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,5:00PM,,,1.0
186,Dioquino Zobel,Dioquino Zobel,"18 Lizardo St. 20th Ave., Brgy. Dioquino Zobel","18 Lizardo Street 20th Avenue, Barangay Dioquino Zobel, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,14.61939441,121.0643398,3.0
187,Don Manuel,Don Manuel,L. Castillo corner Matimyas St. Brgy. Don Manuel,"L. Castillo corner Matimyas Street Barangay Don Manuel, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,14.61651458,121.0044445,4.0
188,Don Manuel,mind specialists school inc.,"152-d, d. tuazon st. , don manuel, quezon city, ncr, 1113","152-d, d. tuazon Street , don manuel, quezon city, ncr, 1113, Philippines",Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",6:00AM,7:00PM,14.61621448,121.0054485,4.0
189,Doña Aurora,Doña Aurora,E. Jacinto St. Brgy. Doña Aurora,"E. Jacinto Street Barangay Doña Aurora, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,14.61621067,121.0104831,4.0
190,Doña Imelda,Palanza,#38 Kapiligan St. Brgy. Doña Imelda,"#38 Kapiligan Street Barangay Doña Imelda, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,14.61023701,121.0194223,4.0
191,Doña Imelda,Kalayaan,"91 Guirayan St., Brgy. Doña Imelda","91 Guirayan Street, Barangay Doña Imelda, Quezon City, Philippines",Health centers,,Health centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",,,14.61231666,121.0178328,4.0
192,Doña Imelda,enst therapeutic clinic,"1, lantawan st. , doña imelda, quezon city, ncr, 1113","1, lantawan Street , doña imelda, quezon city, ncr, 1113, Philippines",Long-term care and rehabilitation services,,Therapeutic clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",9:00AM,8:00PM,14.608149,121.0188215,4.0
193,Doña Imelda,Chamberette Doña Imelda,Chamberette Building Guirayan St. Brgy. Doña Imelda,"Chamberette Building Guirayan Street Barangay Doña Imelda, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,14.61231666,121.0178328,4.0
194,Doña Imelda,enst therapeutic clinic,"1, lantawan st. , doña imelda, quezon city, ncr, 1113","1, lantawan Street , doña imelda, quezon city, ncr, 1113, Philippines",Long-term care and rehabilitation services,,Therapeutic clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",9:00AM,8:00PM,14.608149,121.0188215,4.0
195,Doña Josefa,4ts psychological services,"18, kitanlad st, doña josefa, quezon city, ncr, 1113","18, kitanlad st, doña josefa, quezon city, ncr, 1113, Philippines",Long-term care and rehabilitation services,,Psychological clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,5:00PM,14.61905536,121.0065518,4.0
196,Doña Josefa,discovery den therapy and learning hub inc.,"unit 201, tc plaza no. 40, quezon ave., doña josefa, quezon city, ncr, 1113","unit 201, tc plaza 40, quezon Avenue, doña josefa, quezon city, ncr, 1113, Philippines",Long-term care and rehabilitation services,,Physical/occupational therapy school,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,8:00PM,14.62195701,121.006657,4.0
197,Doña Josefa,Doña Josefa,Brgy. Doña Josefa Brgy. Hall Agno cor. Kitanlad St.,"Barangay Doña Josefa Barangay Hall Agno corner Kitanlad Street, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,14.61905536,121.0065518,4.0
198,Duyan-duyan,Duyan-duyan,"Kamagong St., cor. Kalanatas St., Brgy. Duyan-duyan","Kamagong Street, corner Kalanatas Street, Barangay Duyan-duyan, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,14.63025966,121.0666991,3.0
199,E. Rodriguez,E. Rodriguez Sr.,"181 Ermin Garcia St., Cubao, Brgy. E. Rodriguez Sr.","181 Ermin Garcia Street, Cubao, Barangay E. Rodriguez Sr., Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,14.6286386,121.0552252,3.0
200,E. Rodriguez,corexpert physical therapy center,"#1237, e. rodriguez sr. , kristong hari, quezon city, ncr, 1112","#1237, e. rodriguez sr. , kristong hari, quezon city, ncr, 1112, Philippines",Long-term care and rehabilitation services,,Physical therapy clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,5:00PM,,,3.0
201,E. Rodriguez,k&m wellness corporation,"unit 101 1706, rimando building ii, e. rodriguez sr. ave., immaculate concepcion, cubao , ncr, 1109","unit 101 1706, rimando building ii, e. rodriguez sr. Avenue, immaculate concepcion, cubao , ncr, 1109, Quezon City, Philippines",Long-term care and rehabilitation services,,Physical therapy clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",10:00AM,8:00PM,,,3.0
202,E. Rodriguez,numberninjas co.,"5th flr.u-504, hemady square, 86, dona hemady street, corner e. rodriguez sr.avenue, kristong hari, quezon city, ncr, 1112","5th Flooru-504, hemady square, 86, dona hemady street, corner e. rodriguez sr.avenue, kristong hari, quezon city, ncr, 1112, Philippines",Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",10:00AM,6:00PM,,,3.0
203,E. Rodriguez,National Children’s Hospital,"264 E. Rodriguez Sr. Avenue, Quezon City, Philippines","National Children’s Hospital 264 E. Rodriguez Sr. Avenue, Quezon City, Philippines",Health centers,,National government-owned hospitals,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",,,,,3.0
204,E. Rodriguez,progressive minds learning and tutorial center inc.,"# 2, alabama st. cor e. rodriguez sr. ave, kristong hari, quezon city, ncr, 1112","# 2, alabama Street corner e. rodriguez sr. ave, kristong hari, quezon city, ncr, 1112, Philippines",Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",8:00AM,5:00PM,,,3.0
205,East Kamias,East Kamias,"65 K 10th St., Brgy. East Kamias","65 K 10th Street, Barangay East Kamias, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,14.63200746,121.0579587,3.0
206,Escopa 1,Escopa,"P. Burgos St., Brgy. Escopa 1","P. Burgos Street, Barangay Escopa 1, Quezon City, Philippines",Health centers,,Health centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",,,14.6245297,121.0730494,3.0
207,Escopa 1,Escopa Sentrong Sigla Health Center,"P. Burgos St., Brgy. Escopa 1","P. Burgos Street, Barangay Escopa 1, Quezon City, Philippines",Health centers,,Health center pharmacy,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",,,14.6245297,121.0730494,3.0
208,Escopa 2,Escopa 2,"Mapagmahal St., Barangay Hall, Brgy. Escopa 2","Mapagmahal Street, Barangay Hall, Barangay Escopa 2, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,,,3.0
209,Escopa 3,Escopa 3A,"P. Burgos PUD Site Bliss, Brgy. Hall Compound, Project 4, Brgy. Escopa 3","P. Burgos PUD Site Bliss, Barangay Hall Compound, Project 4, Barangay Escopa 3, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,,,3.0
210,Escopa 4,Escopa 3B,"P. Burgos PUD Site Bliss, Brgy. Hall Compound, Project 4, Brgy. Escopa 3","P. Burgos PUD Site Bliss, Barangay Hall Compound, Project 4, Barangay Escopa 3, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,,,3.0
211,Escopa 4,Escopa 4,"Senior Citizen Bldg. Escopa 4 Ibaba, Brgy. Escopa 4","Senior Citizen Building Escopa 4 Ibaba, Barangay Escopa 4, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,,,3.0
212,Fairview,"fatima medical science foundation, inc.","block 87, lot 17 & 19, regalado ave., fairview, quezon city, ncr, 1121","block 87, lot 17 & 19, regalado Avenue, fairview, quezon city, ncr, 1121, Philippines",Long-term care and rehabilitation services,,Rehabilitation clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,5:00PM,14.70174359,121.0679922,5.0
213,Fairview,SAPAMANAI,"2nd Floor SAPAMANAI Bldg., Molave St. cor Mahogany St. Brgy Fairview","2nd Floor SAPAMANAI Building, Molave Street corner Mahogany Street Barangay Fairview, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,,,5.0
214,Fairview,altiora ability  therapy and education center inc.,"unit b, block 9, lot 1, camaro street corner pearl drive, camaro villa, fairview, quezon city, ncr, 1118","unit b, block 9, lot 1, camaro street corner pearl drive, camaro villa, fairview, quezon city, ncr, 1118, Philippines",Long-term care and rehabilitation services,,Physical/occupational therapy school,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00PM,5:00PM,14.7090107,121.0716066,5.0
215,Fairview,the philippine timothy christian academy of quezon city inc.,"blk 3, lot 1, pearl st., regalado ave., fairview, quezon city, ncr, 1118","blk 3, lot 1, pearl Street, regalado Avenue, fairview, quezon city, ncr, 1118, Philippines",Schools,Private,Private school,"QC Future Ready dashboard, Schools",7:00AM,7:00PM,14.709105,121.0670284,5.0
216,Fairview,discoveryplayschool day care center,"unit f, doc pau bldg.,, blk 27, lot 26, 73 pontiac st. , fairview, quezon city, ncr, 1118","unit f, doc pau Building, blk 27, lot 26, 73 pontiac Street , fairview, quezon city, ncr, 1118, Philippines",Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",7:30AM,7:00PM,14.704475,121.0688301,5.0
217,Fairview,"eagle rock dialysis & wellness center, inc.","17, dart st. cor. camaro st., fairview park subd., fairview, quezon city, ncr, 1118","17, dart Street corner camaro Street, fairview park Subdivision, fairview, quezon city, ncr, 1118, Philippines",Long-term care and rehabilitation services,,Therapeutic clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,5:00PM,14.70524002,121.071575,5.0
218,Fairview,foot kingdom spa inc.,"ax3 250-252, sm city fairview, quirino highway, corner regalado ave., greater lagro, quezon city, ncr, 1100","ax3 250-252, sm city fairview, quirino highway, corner regalado Avenue, greater lagro, quezon city, ncr, 1100, Philippines",Long-term care and rehabilitation services,,Therapeutic clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",10:00AM,10:00PM,,,5.0
219,Fairview,"healing path foundation-hp, inc.","#11, jaguar st., fairview, quezon city, ncr, 1118","#11, jaguar Street, fairview, quezon city, ncr, 1118, Philippines",Long-term care and rehabilitation services,,Rehabilitation clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,5:00PM,14.70083642,121.0649416,5.0
220,Fairview,bethel christian school of  fairview inc.,"366, republic ave., west, fairview, quezon city, ncr, 1118","366, republic Avenue, west, fairview, quezon city, ncr, 1118, Philippines",Schools,Private,Private school,"QC Future Ready dashboard, Schools",8:00AM,5:00PM,,,5.0
221,Fairview,Sitio Urlina,Sitio Urlina Lilac St. Brgy. Fairview,"Sitio Urlina Lilac Street Barangay Fairview, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,,,5.0
222,Fairview,Fairview,"Ground floor Vargas Hall, Barangay Hall Complex, Dahlia St., Brgy. Fairview","Ground floor Vargas Hall, Barangay Hall Complex, Dahlia Street, Barangay Fairview, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,,,5.0
223,Fairview,Fairview,"Dahlia Avenue, Brgy. Fairview","Dahlia Avenue, Barangay Fairview, Quezon City, Philippines",Health centers,,Health centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",,,14.6996186,121.0640358,5.0
224,Fairview,backinline posture clinics corporation,"ax3 234 upper groundfloor, sm city fairview, quirino hiway corner regalado avenue, greater lagro, quezon city, ncr, 1100","ax3 234 upper groundfloor, sm city fairview, quirino hiway corner regalado avenue, greater lagro, quezon city, ncr, 1100, Philippines",Long-term care and rehabilitation services,,Physical therapy clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",10:00AM,9:00PM,,,5.0
225,Fairview,Sitio Kislap,"Sitio Kislap Pearl St, Brgy. Fairview","Sitio Kislap Pearl St, Barangay Fairview, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,14.70901131,121.0717224,5.0
226,Fairview,Sitio Ruby,"Sitio Ruby St. SERNAI East Fairview, Brgy. Fairview","Sitio Ruby Street SERNAI East Fairview, Barangay Fairview, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,14.70957411,121.0698836,5.0
227,Fairview,khameon learning center,"unit 6, blk 4, lot 42, #43 chestnut st. cor. cypress st., fairview, quezon city, ncr, 1118","unit 6, blk 4, lot 42, #43 chestnut Street corner cypress Street, fairview, quezon city, ncr, 1118, Philippines",Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",8:00AM,5:00PM,14.69871248,121.0598813,5.0
228,Fairview,"fatima medical science foundation, inc.","block 87, lot 17 & 19, regalado ave., fairview, quezon city, ncr, 1121","block 87, lot 17 & 19, regalado Avenue, fairview, quezon city, ncr, 1121, Philippines",Long-term care and rehabilitation services,,Rehabilitation clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,5:00PM,14.70174359,121.0679922,5.0
229,Fairview,holy child montessori school of fairview inc.,"b3, l3, paxton st., fairview, quezon city, ncr, 1118","b3, l3, paxton Street, fairview, quezon city, ncr, 1118, Philippines",Schools,Private,Private school,"QC Future Ready dashboard, Schools",8:00AM,4:00PM,14.70949601,121.075834,5.0
230,Fairview,Sitio RABOSNA,"14 Ruby St Sitio Rabosna, Brgy. Fairview","14 Ruby St Sitio Rabosna, Barangay Fairview, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,14.70957411,121.0698836,5.0
231,Fairview,MMTC,"Basilio St., cor Republic Ave., Brgy. Fairview","Basilio Street, corner Republic Avenue, Barangay Fairview, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,,,5.0
232,Fairview,ac biomechanics physical therapy clinic,"unit 210 2/f, regalado hive bldg., regalado ave., fairview, quezon city, ncr, 1118","unit 210 2/f, regalado hive Building, regalado Avenue, fairview, quezon city, ncr, 1118, Philippines",Long-term care and rehabilitation services,,Physical therapy clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",9:00AM,7:00PM,14.699643,121.067794,5.0
233,Greater Lagro,aces aba intervention learning and assessment center,"blk 50, lot 45, noche buena cor. pabasa st., greater lagro, quezon city, ncr, 1100","blk 50, lot 45, noche buena corner pabasa Street, greater lagro, quezon city, ncr, 1100, Philippines",Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",8:00AM,5:00PM,,,5.0
234,Greater Lagro,sports health and wellness international inc.,"l38, b57, misa de gallo st, lagro subdivision, greater lagro, quezon city, ncr, 1100","l38, b57, misa de gallo st, lagro subdivision, greater lagro, quezon city, ncr, 1100, Philippines",Long-term care and rehabilitation services,,Physical therapy clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",9:00AM,4:00PM,14.727017,121.0654899,5.0
235,Greater Lagro,creative circle child development house inc.,"blk. 27 lot 17, salawikain st., greater lagro, quezon city, ncr","blk. 27 lot 17, salawikain Street, greater lagro, quezon city, ncr, Philippines",Childcare,Private,Day care center,"QC Future Ready dashboard, Childcare",8:00AM,5:00PM,14.72292231,121.0677252,5.0
236,Greater Lagro,prime montessori school inc.,"blk 76, lot 67, ascension  avenue, lagro subdivision novaliches, greater lagro, quezon city, ncr, 1100","blk 76, lot 67, ascension avenue, lagro subdivision novaliches, greater lagro, quezon city, ncr, 1100, Philippines",Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",8:00AM,5:00PM,14.73243598,121.067502,5.0
237,Greater Lagro,Greater Lagro I,"1st floor Greater Largo Daycare Center Building, Ascension Rd., Greater Lagro Subd. Brgy. Greater Lagro","1st floor Greater Largo Daycare Center Building, Ascension Road, Greater Lagro Subdivision Barangay Greater Lagro, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,,,5.0
238,Greater Lagro,"school of st. anthony, inc.","blk 111 lot 10, 10, mindanao ave., neopolitan 1, greater lagro, quezon city, ncr, 1100","blk 111 lot 10, 10, mindanao Avenue, neopolitan 1, greater lagro, quezon city, ncr, 1100, Philippines",Schools,Private,Private school,"QC Future Ready dashboard, Schools",7:00AM,5:00PM,,,5.0
239,Greater Lagro,Greater Lagro II,"2nd floor Greater Largo Daycare Center Building, Ascension Rd., Greater Lagro Subd. Brgy. Greater Lagro","2nd floor Greater Largo Daycare Center Building, Ascension Road, Greater Lagro Subdivision Barangay Greater Lagro, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,,,5.0
240,Greater Lagro,Greater Lagro,"Blk, 47, Lot 1, Ascension Avenue, Brgy. Greater Lagro","Blk, 47, Lot 1, Ascension Avenue, Barangay Greater Lagro, Quezon City, Philippines",Health centers,,Health centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",,,14.71452302,121.067183,5.0
241,Greater Lagro,prime montessori school inc.,"blk 76, lot 67, ascension  avenue, lagro subdivision novaliches, greater lagro, quezon city, ncr, 1100","blk 76, lot 67, ascension avenue, lagro subdivision novaliches, greater lagro, quezon city, ncr, 1100, Philippines",Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",8:00AM,5:00PM,14.73243598,121.067502,5.0
