barangay,district,Indicator,Total,In Flood Zone,% under flood risk
Alicia,DISTRICT 1,Total Population,6424,1823,28.38
Amihan,DISTRICT 3,Total Population,3679,1146,31.15
Apolonio Samson,DISTRICT 6,Total Population,35354,15404,43.57
Baesa,DISTRICT 6,Total Population,58298,18775,32.21
Bagbag,DISTRICT 5,Total Population,67874,12754,18.79
Bagong Lipunan ng Crame,DISTRICT 4,Total Population,14351,2180,15.19
Bagong Pag-asa,DISTRICT 1,Total Population,30742,7586,24.68
Bagong Silangan,DISTRICT 2,Total Population,112282,21588,19.23
Bagumbayan,DISTRICT 3,Total Population,23306,13197,56.62
Bagumbuhay,DISTRICT 3,Total Population,6652,1759,26.44
Bahay Toro,DISTRICT 1,Total Population,62660,21719,34.66
Balingasa,DISTRICT 1,Total Population,20230,5116,25.29
Balong-bato,DISTRICT 6,Total Population,7362,939,12.75
Batasan Hills,DISTRICT 2,Total Population,175120,30790,17.58
Bayanihan,DISTRICT 3,Total Population,648,0,0.0
Blue Ridge A,DISTRICT 3,Total Population,1621,99,6.11
Blue Ridge B,DISTRICT 3,Total Population,1124,173,15.39
Botocan,DISTRICT 4,Total Population,6945,2484,35.77
Bungad,DISTRICT 1,Total Population,7397,1425,19.26
Camp Aguinaldo,DISTRICT 3,Total Population,3438,235,6.84
Capri,DISTRICT 5,Total Population,13491,11424,84.68
Central,DISTRICT 4,Total Population,20430,4482,21.94
Claro (Quirino 3-B),DISTRICT 3,Total Population,4067,2442,60.04
Commonwealth,DISTRICT 2,Total Population,224097,18776,8.38
Culiat,DISTRICT 6,Total Population,71177,23291,32.72
Damar,DISTRICT 1,Total Population,994,230,23.14
Damayan,DISTRICT 1,Total Population,6285,2100,33.41
Damayang Lagi,DISTRICT 4,Total Population,20308,10540,51.9
Del Monte,DISTRICT 1,Total Population,10749,4054,37.72
Dioquino Zobel,DISTRICT 3,Total Population,1889,0,0.0
Don Manuel,DISTRICT 4,Total Population,1822,506,27.77
Doña Aurora,DISTRICT 4,Total Population,4464,0,0.0
Doña Imelda,DISTRICT 4,Total Population,12288,10856,88.35
Doña Josefa,DISTRICT 4,Total Population,1964,108,5.5
Duyan-duyan,DISTRICT 3,Total Population,3531,319,9.03
E. Rodriguez,DISTRICT 3,Total Population,18213,3953,21.7
